Section/Column,Task ID,Name,Notes,Estimated Hours,Estimated Days (2h/day),Epic,Priority,Dependencies,Tags
3. Constructor MVP,T3-2,Construir shell del dashboard,"Objetivo: Crear layout autenticado con sidebar, tabs de profile/page/analytics/billing y feedback visual consistente.

Paso a paso con Claude Code:
1) Pedile a Claude una app shell con shadcn y server actions o fetchers. 2) Definí estados vacíos y loading. 3) Agregá breadcrumbs y navegación estable. 4) Revisá responsive tablet/móvil.",5,2.5,Dashboard,Alta,T3-1,"Dashboard, StageLink, Claude Code"
3. Constructor MVP,T3-3,Editor de perfil del artista,"Objetivo: Formularios para nombre, bio, avatar, cover, redes, categoría y metadata básica de SEO/open graph.

Paso a paso con Claude Code:
1) Pedile a Claude forms con zod/react-hook-form. 2) Conectá uploads S3 para avatar/cover. 3) Guardá cambios con validación server-side. 4) Probá preview en tiempo real.",6,3.0,Perfil,Alta,"T3-2,T2-4","Perfil, StageLink, Claude Code"
3. Constructor MVP,T3-4,"Motor de bloques: schema, CRUD, orden y publish","Objetivo: Crear modelo de bloques flexible para links, music, video y fan capture; permitir crear/editar/eliminar/reordenar/publicar.

Paso a paso con Claude Code:
1) Pedile a Claude un bloque base con discriminated union por tipo. 2) Implementá endpoints CRUD + reorder. 3) En frontend armá lista editable. 4) Para MVP usá reorder simple drag-and-drop o move up/down. 5) Probá persistencia del orden.",8,4.0,Bloques,Alta,"T2-1,T3-2","Bloques, StageLink, Claude Code"
3. Constructor MVP,T3-5,Implementar bloque Links / CTA,"Objetivo: Permitir múltiples links con label, URL, icon, prioridad y tracking.

Paso a paso con Claude Code:
1) Pedile a Claude formulario dinámico de links. 2) Normalizá URLs y sanitizá labels. 3) Renderizá CTA consistente en página pública. 4) Dispará evento de click al abrir.",6,3.0,Links,Alta,T3-4,"Links, StageLink, Claude Code"
3. Constructor MVP,T3-6,Implementar bloques Music y Video embeds,"Objetivo: Agregar embeds de Spotify, SoundCloud, Apple Music, YouTube, Vimeo y TikTok con previews seguras.

Paso a paso con Claude Code:
1) Pedile a Claude parsers por proveedor. 2) Validá URLs soportadas y guardá provider + embed config. 3) Renderizá iframes responsivos. 4) Probá CSP, lazy loading y fallbacks.",8,4.0,Embeds,Alta,T3-4,"Embeds, StageLink, Claude Code"
3. Constructor MVP,T3-7,Construir página pública SSR/SEO del artista,"Objetivo: Renderizar la página del artista en Next.js con SSR/ISR, metadata social, performance y tema visual alineado a la marca.

Paso a paso con Claude Code:
1) Pedile a Claude una ruta pública por username. 2) Traé profile + bloques desde API con caching controlado. 3) Agregá OG tags, sitemap hints y structured metadata básica. 4) Optimiza imágenes y lazy loading. 5) Hacé pruebas Lighthouse.",10,5.0,Pública,Alta,"T3-3,T3-4,T3-5,T3-6,T2-2","Pública, StageLink, Claude Code"
3. Constructor MVP,T3-8,Implementar Smart Link v1,"Objetivo: Resolver el destino preferido según plataforma/dispositivo cuando existan links equivalentes (Spotify vs Apple Music, etc.).

Paso a paso con Claude Code:
1) Pedile a Claude una estrategia simple basada en user-agent/referrer/storage. 2) Definí fallback explícito. 3) Registrá el destino resuelto para analytics. 4) Testeá en iOS/Android/desktop.",5,2.5,Smart Link,Media,"T3-5,T3-7","Smart Link, StageLink, Claude Code"
4. Analytics y fan capture,T4-1,Pipeline de eventos + PostHog,"Objetivo: Capturar page view, click de CTA, smart-link resolution y submit de fan capture; combinar eventos propios y PostHog.

Paso a paso con Claude Code:
1) Pedile a Claude un plan de tracking. 2) Definí event names y payloads estables. 3) Implementá eventos server/client. 4) Enviá a PostHog y/o guardá raw events en tu DB cuando haga falta. 5) Verificá duplicados.",7,3.5,Tracking,Alta,"T3-5,T3-6,T3-7","Tracking, StageLink, Claude Code"
4. Analytics y fan capture,T4-2,Dashboard de analytics básico,"Objetivo: Mostrar clicks, views, CTR simple, top links y países/plataformas básicas para el artista.

Paso a paso con Claude Code:
1) Pedile a Claude queries agregadas y endpoints. 2) Construí cards + tablas simples, no sobrediseñes. 3) Filtrá bots básicos. 4) Verificá que los números cierren contra PostHog.",7,3.5,Analytics,Alta,T4-1,"Analytics, StageLink, Claude Code"
4. Analytics y fan capture,T4-3,Bloque Fan Email Capture,"Objetivo: Bloque público para captar emails con consentimiento; guardar suscriptores por artista y permitir exportación CSV.

Paso a paso con Claude Code:
1) Pedile a Claude modelo subscribers y endpoint submit. 2) Validá email, consentimiento y rate limit. 3) Renderizá bloque editable en dashboard y público en page. 4) Agregá export CSV para el artista.",7,3.5,Fan list,Alta,"T3-4,T3-7","Fan list, StageLink, Claude Code"
4. Analytics y fan capture,T4-4,"Consentimiento, filtros anti-bot y QA de analytics","Objetivo: Agregar consentimiento mínimo, exclusión de bots internos y pruebas de tracking antes de monetizar.

Paso a paso con Claude Code:
1) Pedile a Claude un checklist privacy-first. 2) Implementá exclusión de QA/admin traffic. 3) Configurá banderas de consentimiento si corresponde. 4) Corré tests manuales con eventos reales.",6,3.0,Privacidad,Media,"T4-1,T4-2,T4-3","Privacidad, StageLink, Claude Code"
5. Monetización,T5-1,"Stripe: productos, checkout, portal y webhooks","Objetivo: Implementar planes Free/Pro/Pro+ y preparar Enterprise manual; persistir estado de suscripción en subscriptions.

Paso a paso con Claude Code:
1) Pedile a Claude integración Stripe Checkout + Billing Portal. 2) Definí products/prices y webhook handlers idempotentes. 3) Sincronizá customer/subscription/status en DB. 4) Probá upgrade/downgrade/cancelación y reintentos.",9,4.5,Stripe,Alta,"T2-1,T2-3,T4-2","Stripe, StageLink, Claude Code"
5. Monetización,T5-2,Feature gating por plan,"Objetivo: Restringir custom domain, Shopify, EPK, multi-language, pro analytics y fan insights según plan activo.

Paso a paso con Claude Code:
1) Pedile a Claude una matriz de features por plan. 2) Implementá helper único en backend y frontend. 3) Mostrá locks y upsell sin romper UX. 4) Cubrí edge cases: webhook atrasado, trial, grace period.",7,3.5,Gating,Alta,T5-1,"Gating, StageLink, Claude Code"
5. Monetización,T5-3,UI de billing y upgrade flows,"Objetivo: Pantalla para ver plan actual, límites, CTA de upgrade y acceso al portal de Stripe.

Paso a paso con Claude Code:
1) Pedile a Claude una vista simple y clara. 2) Mostrá uso actual vs límite. 3) Conectá checkout/portal. 4) Probá mensajes de error y estado pendiente.",5,2.5,Billing UI,Media,"T5-1,T5-2","Billing UI, StageLink, Claude Code"
5. Monetización,T5-4,Reglas de branding / ads del plan Free,"Objetivo: Mostrar Powered by StageLink y reservar espacio para promos/ads sólo en free, sin afectar Core UX.

Paso a paso con Claude Code:
1) Pedile a Claude una regla centralizada de rendering según plan. 2) Agregá badge/footer free. 3) Dejá feature flag para ads reales más adelante.",3,1.5,Free plan,Media,T5-2,"Free plan, StageLink, Claude Code"
6. Features Pro,T6-1,Integración Shopify Storefront API,"Objetivo: Conectar tienda del artista vía Storefront API y persistir credenciales/config segura por store.

Paso a paso con Claude Code:
1) Pedile a Claude un diseño de integración usando Storefront API, no Admin. 2) Decidí si la conexión será por domain + token manual en MVP. 3) Guardá config cifrada. 4) Probá fetch de productos y errores de auth.",9,4.5,Shopify,Alta,T5-2,"Shopify, StageLink, Claude Code"
6. Features Pro,T6-2,Bloque Smart Merch,"Objetivo: Mostrar productos destacados, stock/precio básico y CTA a checkout externo o PDP del store.

Paso a paso con Claude Code:
1) Pedile a Claude un bloque merch desacoplado del provider. 2) Renderizá grilla simple con cache. 3) Trackeá clicks a productos. 4) Manejá productos no disponibles.",6,3.0,Merch,Media,"T6-1,T3-4","Merch, StageLink, Claude Code"
6. Features Pro,T6-3,EPK builder y página/share exportable,"Objetivo: Generar un press kit electrónico con bio, fotos, música, contacto y rider en una página dedicada.

Paso a paso con Claude Code:
1) Pedile a Claude una estructura EPK reutilizando datos existentes. 2) Sumá secciones editables y assets de S3. 3) Publicá URL shareable y versión printable/PDF-friendly. 4) Testeá con un artista demo.",10,5.0,EPK,Alta,"T3-3,T2-4,T5-2","EPK, StageLink, Claude Code"
6. Features Pro,T6-4,Analytics Pro y fan insights,"Objetivo: Expandir dashboard con filtros por rango, top countries, platform preference y conversiones simples.

Paso a paso con Claude Code:
1) Pedile a Claude nuevas agregaciones y filtros. 2) Reutilizá eventos existentes antes de crear más. 3) Validá performance con índices y cache. 4) Marcá claramente qué es Pro.",5,2.5,Analytics Pro,Media,"T4-2,T5-2","Analytics Pro, StageLink, Claude Code"
6. Features Pro,T6-5,Multi-language pages e infraestructura de traducción,"Objetivo: Agregar páginas en varios idiomas con fallback, traducciones de UI y estrategia para contenido traducido del artista.

Paso a paso con Claude Code:
1) Pedile a Claude separar i18n de interfaz vs contenido del usuario. 2) Implementá locales, routing y dictionaries. 3) Para contenido del artista, arrancá con campos manuales o traducción asistida. 4) Probá SEO hreflang y fallbacks.",11,5.5,i18n,Alta,"T1-2,T3-7,T5-2","i18n, StageLink, Claude Code"
7. AI + hardening + launch,T7-1,AI Artist Bio / press kit assistant,"Objetivo: Feature Phase 3: generar bio profesional y variantes reutilizables para página y EPK.

Paso a paso con Claude Code:
1) Pedile a Claude diseñar prompts, límites y flujo de edición humana. 2) Elegí proveedor LLM después; no acoples la app a un solo modelo. 3) Guardá outputs versionados. 4) Exigí revisión manual antes de publicar.",7,3.5,AI,Media,"T6-3,T6-5","AI, StageLink, Claude Code"
7. AI + hardening + launch,T7-2,"Seguridad, rate limits, validaciones y observabilidad","Objetivo: Cerrar superficie antes del lanzamiento: rate limits, sanitización, logs, alertas y manejo de errores.

Paso a paso con Claude Code:
1) Pedile a Claude un security review sobre tu código existente. 2) Sumá rate limiting, input sanitization, CSP/CORS seguros y redacción de logs. 3) Conectá monitoreo mínimo y alertas.",6,3.0,Hardening,Alta,"T4-4,T5-1,T6-1","Hardening, StageLink, Claude Code"
7. AI + hardening + launch,T7-3,"QA/UAT, seed data y smoke tests","Objetivo: Preparar cuentas demo, datos de ejemplo, checklist UAT y tests críticos para deploys.

Paso a paso con Claude Code:
1) Pedile a Claude seeds realistas con 2-3 artistas demo. 2) Escribí smoke tests para login, editar página, click tracking, checkout y fan capture. 3) Corré checklist cross-browser y mobile.",7,3.5,QA,Alta,T7-2,"QA, StageLink, Claude Code"
7. AI + hardening + launch,T7-4,"Lanzamiento productivo, documentación y backlog post-launch","Objetivo: Lanzar producción, configurar dominios, runbooks, soporte inicial y backlog de mejoras basado en uso real.

Paso a paso con Claude Code:
1) Pedile a Claude un launch checklist final. 2) Publicá prod en Vercel/Railway/Fly y revisá Cloudflare. 3) Documentá operación, rollback y known issues. 4) Armá backlog post-launch con métricas reales.",8,4.0,Launch,Alta,T7-3,"Launch, StageLink, Claude Code"
